Group	Score
2	121.5004
2	929.3473
2	NA
2	NA
2	224.455
2	234.08201
2	107.83103
2	1386.95445
2	313.48926
2	NA
2	216.51598
2	801.59025
